title,link,keyword,source
"""부부 연봉 2억이요 무조건 여기 넣으세요"" 소득별 부동산 전략 나왔다",https://hogangnono.com/news,호갱노노,hogangnono
"1.8억에 10억 아파트를 ""흥행 돌풍 아니면 찻잔 속 태풍""",https://hogangnono.com/news,호갱노노,hogangnono
'30년 이상' 노후 건물만 수두룩 서울 '공포 확산',https://hogangnono.com/news,호갱노노,hogangnono
잠실 한강변 재건축 지금 산다면 '주공5 vs 장미',https://hogangnono.com/news,호갱노노,hogangnono
"""결국 3억 더 주고 샀어요"" 강남·과천만 오른다",https://hogangnono.com/news,호갱노노,hogangnono
"""분당 뛰면 우린 더 뛴다"" '2억 껑충' 집주인들 신난 동네 [현장+]",https://hogangnono.com/news,호갱노노,hogangnono
재건축 호재에 '신고가 행진' 분당 판교 신도시 집값 밀어올렸다,https://hogangnono.com/news,호갱노노,hogangnono
서울 강남서도 재건축 시공 수주경쟁 '실종' [현장],https://hogangnono.com/news,호갱노노,hogangnono
샷시·가구도 안팔린다 건설 침체에 후방 산업도 보릿고개,https://hogangnono.com/news,호갱노노,hogangnono
"""명품이 건물값까지 올려주네"" 청담동 최고가 찍은 빌딩, 가격은",https://hogangnono.com/news,호갱노노,hogangnono
'뜨거운 목동' 1~14단지 재건축 속도에 한신청구 리모델링 맞불,https://hogangnono.com/news,호갱노노,hogangnono
"""하수도 요금을 135만원 내라고 "" 2000여 가구 '공과금 폭탄' 발칵",https://hogangnono.com/news,호갱노노,hogangnono
소송·분담금에 미분양까지 재건축단지 뇌관 된 상가,https://hogangnono.com/news,호갱노노,hogangnono
서쪽의 판교 라는 마곡 아파트는 안통하네~,https://hogangnono.com/news,호갱노노,hogangnono
"""은평 대장 아파트 보러 왔어요"" 관심 뜨거운 대조1구역 [현장+]",https://hogangnono.com/news,호갱노노,hogangnono
'프라다 빌딩' 청담동 최고가 갈아치웠다,https://hogangnono.com/news,호갱노노,hogangnono
'특혜 의혹' 화순군수 외가 문중 땅에 조성한 꽃단지 가보니,https://hogangnono.com/news,호갱노노,hogangnono
"[김문수 10대 공약] 법인세·상속세 인하, 주 52시간 개선… AI 인재 20만...",http://www.g-enews.com/ko-kr/news/article/news_all/202505122146475466e207547429_1/article.html,재건축,naver
"“법인세·상속세율 낮추겠다”…김문수, 중도층 노리고 ‘개발·감세’...",https://n.news.naver.com/mnews/article/009/0005491137?sid=154,재건축,naver
김문수 &quot;기업하기 좋은 나라 투자 확대해 일자리&quot;,https://www.idaegu.co.kr/news/articleView.html?idxno=509615,재건축,naver
"대림바스, 22년 연속 위생도기 시장 1위",https://www.idaegu.co.kr/news/articleView.html?idxno=509558,재건축,naver
김문수 &quot;기업하기 좋은 나라로&quot;…GTX·청년주택 등 10대 공약,https://n.news.naver.com/mnews/article/422/0000739803?sid=161,재건축,naver
정치권 '주택 공급' 한목소리⋯현실성은 '글쎄',https://n.news.naver.com/mnews/article/031/0000931561?sid=101,재건축,naver
"노원구, 상계주공6단지 재건축 서울시 신속통합기획 자문 신청",https://n.news.naver.com/mnews/article/277/0005591210?sid=102,재건축,naver
김문수 &quot;계엄으로 고통 겪는 국민들께 진심으로 죄송&quot; 공식 사과,https://n.news.naver.com/mnews/article/087/0001116079?sid=100,재건축,naver
"“남산 가릴라”... 용산 한강맨션 재건축, 최고 층수 68→59층 추진",https://n.news.naver.com/mnews/article/023/0003904730?sid=102,재건축,naver
"송언석 의원, 대한민국 경제 재건축위원장 임명",https://www.ksmnews.co.kr/news/view.php?idx=539739,재건축,naver
국민의힘 김문수 후보 &quot;기업하기 좋은 나라로… 일자리 창출·중산층 강...,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1143645,재건축,naver
"노원구, '상계주공6단지아파트 재건축'...서울시 신속통합기획 자문 신...",https://www.jeonmae.co.kr/news/articleView.html?idxno=1146390,재건축,naver
"[대선 후보 10대 공약] 김문수, '경제 대전환' 전면 배치",https://www.iusm.co.kr/news/articleView.html?idxno=1051216,재건축,naver
강남·과천 아파트 절반 이상 최고가 거래,https://n.news.naver.com/mnews/article/449/0000308436?sid=101,재건축,naver
[6·3 대선] 경기도 규제 풀어야 신산업 공약 지킨다,https://www.incheonilbo.com/news/articleView.html?idxno=1288670,재건축,naver
"[별별 부동산] 서울 용산구, 한강맨션 재건축 59층 1,685세대 계획 발표...",https://www.cbci.co.kr/news/articleView.html?idxno=500728,재건축,naver
대선 후보 10대 공약 발표…정책 '출사표',https://n.news.naver.com/mnews/article/656/0000131812?sid=100,재건축,naver
"김문수, 10대 공약 발표…&quot;기업하기 좋은 나라로 일자리 창출&quot;",http://www.dynews.co.kr/news/articleView.html?idxno=801674,재건축,naver
"HDC현대산업개발, 전북 전주 오성대우아파트 재건축 사업 수주",https://www.asiatoday.co.kr/view.php?key=20250512010005101,재건축,naver
"5월 첫 주, 인천지역 아파트 가격 하락세 계속",https://www.joongboo.com/news/articleView.html?idxno=363692346,재건축,naver
"송언석 의원, 국힘 대선 후보 직속 경제 재건축위원장 임명",http://www.hidomin.com/news/articleView.html?idxno=580606,재건축,naver
"서초구, 지반침하 사고에 대응하기 위한 선제적 예방대책 대폭 강화",http://www.lawissue.co.kr/view.php?ud=20250512081413633edd30pn2gj_12,재건축,naver
[6·3대선]김문수 1호 공약은 ‘기업하기 좋은 나라’,https://www.yeongnam.com/web/view.php?key=20250512020476864,재건축,naver
대선 주자 10대 공약 뭘 담았을까-국민의힘 김문수 후보,https://www.tbc.co.kr/news/view?pno=20250512172326AE05187&id=195569,재건축,naver
5·18 사적지 광주송정역 광장 올바로 평가받았으면,http://www.kjdaily.com/article.php?aid=1747043100655907018,재건축,naver
"김문수, 가락시장서 첫 선거운동 &quot;시장·민생·경제 대통령 될 것&quot;",http://www.enewstoday.co.kr/news/articleView.html?idxno=2275789,재건축,naver
"[별별 부동산] &quot;압구정 현대, 그 이름의 힘&quot;…현대건설, 압구정 재건축...",https://www.cbci.co.kr/news/articleView.html?idxno=500698,재건축,naver
미성아파트 재건축조합 변호사선정,http://www.housingherald.co.kr/news/articleView.html?idxno=50085,재건축,naver
서초구 “땅꺼짐 사고 선제적 예방 대책 추진중”,https://n.news.naver.com/mnews/article/016/0002470001?sid=102,재건축,naver
"삼성물산, 정비사업 수주 목표 5조 돌파…도시정비 '선두 질주'",https://www.econovill.com/news/articleView.html?idxno=695490,재건축,naver
강남원효성빌라 재건축조합 감정평가업체 선정,http://www.housingherald.co.kr/news/articleView.html?idxno=50084,재건축,naver
이재명 '공정경제 실현' 김문수 '규제혁신·감세' 이준석 '작은 정부',https://n.news.naver.com/mnews/article/015/0005130838?sid=154,재건축,naver
서울 은평·구로·노원마저… 59㎡ 분양가 10억 아래 '실종',https://n.news.naver.com/mnews/article/014/0005348430?sid=101,재건축,naver
"55년 된 용산 한강맨션, 59층 1685가구로 재건축 나선다",https://n.news.naver.com/mnews/article/014/0005348437?sid=101,재건축,naver
"성남 분당신도시 단지 38곳, 재건축 2차 공모 “주민 제안 필요”",https://n.news.naver.com/mnews/article/666/0000072391?sid=102,재건축,naver
"&quot;압구정 현대 정통성 지키자&quot; 현대건설, 상표권 출원 박차",https://n.news.naver.com/mnews/article/014/0005348433?sid=101,재건축,naver
"[fn이사람] &quot;文 부동산 규제, 차기 정부서 정상화 해야&quot;",https://n.news.naver.com/mnews/article/014/0005348415?sid=102,재건축,naver
"재초환 폐지·종소세 물가연동제 金, 중도층 잡기 위해 '개발·감세'",https://n.news.naver.com/mnews/article/009/0005491075?sid=154,재건축,naver
대선 공약에서 사라진 ‘주택’…건설업계 &quot;돌파구가 안 보인다&quot;,https://n.news.naver.com/mnews/article/469/0000864290?sid=154,재건축,naver
이재명 1호 공약은 'AI 경제 강국'... 내란 종식보다 성장 앞세웠다,https://n.news.naver.com/mnews/article/469/0000864294?sid=154,재건축,naver
"송언석 의원, '대한민국 경제 재건축위원장' 임명…대선 경제 비전 앞장",https://www.kyongbuk.co.kr/news/articleView.html?idxno=4040838,재건축,naver
한강변 '대어'에 몰리는 대형건설사...정비사업 수주전도 양극화,https://www.ajunews.com/view/20250509153246727,재건축,naver
김문수 &quot;기업하기 좋은 나라로 일자리 창출&quot;,http://www.gndomin.com/news/articleView.html?idxno=433860,재건축,naver
전세 낀 매물 거래 불가에…다시 랠리 시작한 강남,https://n.news.naver.com/mnews/article/011/0004484373?sid=101,재건축,naver
"현대건설, '압구정 현대' 상표권 출원으로 수주 공략",https://it.chosun.com/news/articleView.html?idxno=2023092140450,재건축,naver
올해 재건축 절반이 '래미안·롯데캐슬'…브랜드 선호도 뚜렷,http://www.fntimes.com/html/view.php?ud=20250512172849497e41d7fc6c2_18,재건축,naver
"건설사 CEO, 잇달아 현장 안전점검…왜?",http://www.srtimes.kr/news/articleView.html?idxno=176779,재건축,naver
[아유경제_재건축] 공익사업 변경 사실을 환매권자에게 통지 의무 가지...,http://www.areyou.co.kr/news/articleView.html?idxno=88955,재건축,naver
아파트 매매 줄었어도…'강남·과천' 절반 이상 신고가,https://www.newspim.com/news/view/20250512001237,재건축,naver
김문수 '3·3·3 주거지원' 등 청년 핀셋공략…법인세 내리고 주52시간제...,https://n.news.naver.com/mnews/article/011/0004484352?sid=100,재건축,naver
"현대건설, '압구정 현대' 상표권 출원 총력",https://www.pointdaily.co.kr/news/articleView.html?idxno=246709,재건축,naver
"이재명·김문수·이준석, 선거운동 첫날 10대 공약 동시 발표",http://www.jeollailbo.com/news/articleView.html?idxno=766947,재건축,naver
이번에도 부동산이 표심 흔들까... 21대 대선 집값 공약 비교,https://www.pointdaily.co.kr/news/articleView.html?idxno=246866,재건축,naver
과천 거래 10건 중 6건은 신고가… &quot;토허제 풍선효과 아니다&quot;,https://www.joongboo.com/news/articleView.html?idxno=363692332,재건축,naver
"HDC현대산업개발, 1369억 규모 전주 오성대우아파트 재건축사업 수주",https://www.businesspost.co.kr/BP?command=article_view&num=394749,재건축,naver
"2025 대선, 금융시장과 산업에 미칠 영향은?",http://www.whitepaper.co.kr/news/articleView.html?idxno=246245,재건축,naver
"현대건설, '압구정 현대' 상표권 출원 '총력'",https://n.news.naver.com/mnews/article/448/0000527119?sid=101,재건축,naver
"“사업자 찾기 삼수 만에”…연신내역 도심복합개발 사업, ‘금호건설 ...",https://n.news.naver.com/mnews/article/366/0001076508?sid=101,재건축,naver
&quot;조합원만 오세요&quot;…'은밀하고 특별한' 압구정 수주전,https://n.news.naver.com/mnews/article/215/0001208952?sid=101,재건축,naver
"HDC현산, '서초 알짜 입지' 방배신삼호 재건축 단독 입찰…수주 의지 보...",http://www.wikileaks-kr.org/news/articleView.html?idxno=168136,재건축,naver
"수도권 7개 도시가스사, 1분기 판매실적 수요이탈 우려 속 소폭 늘어",https://www.gasnews.com/news/articleView.html?idxno=120138,재건축,naver
"HDC현대산업개발, 신삼호아파트 재건축 설계안 일부 공개",https://n.news.naver.com/mnews/article/020/0003634354?sid=101,재건축,naver
"'평촌 최초' 꿈마을 민백블럭, 예비사업시행자 지정 신청",http://www.arunews.com/news/articleView.html?idxno=48738,재건축,naver
"경제대통령 내세운 대선후보들, 해법은 제각각",https://www.straightnews.co.kr/news/articleView.html?idxno=270877,재건축,naver
[이슈체크] 'D-22' 7인7색 후보별 공약 및 특징,http://www.sisunnews.co.kr/news/articleView.html?idxno=224381,재건축,naver
"[21대 대선] 이재명, 성장·개혁 방점 '10대 공약' 발표…개헌 등 민감주...",https://daily.hankooki.com/news/articleView.html?idxno=1214797,재건축,naver
"[단독]압구정에 사활건 현대건설, 영업팀 20명 이상 증원",https://www.newsway.co.kr/news/view?ud=2025051217041330744,재건축,naver
"HDC현대산업개발, 방배 신삼호 재건축 조경설계안 공개",https://www.fetv.co.kr/news/article.html?no=191718,재건축,naver
"현대건설, 압구정 현대 상표권 출원 위해 '광장'과 맞손…&quot;압구정2 밑그...",https://www.newspim.com/news/view/20250512001194,재건축,naver
"현대건설 '최대어' 압구정2구역 재건축서 삼성물산에 설욕 준비, 브랜드...",https://www.businesspost.co.kr/BP?command=article_view&num=394733,재건축,naver
'1조6000억' 강남 아파트도 이럴 줄은…건설사 돌변한 까닭,https://n.news.naver.com/mnews/article/015/0005130721?sid=101,재건축,naver
용산 한강맨션 68 → 59층 재건축,https://n.news.naver.com/mnews/article/015/0005130719?sid=101,재건축,naver
현대건설 '압구정 현대' 상표권 출원,https://n.news.naver.com/mnews/article/015/0005130718?sid=101,재건축,naver
"[6·3대선]김문수 후보, 주요 공약 ‘기업하기 좋은나라’·‘일자리 창...",http://www.segyebiz.com/newsView/20250512515266?OutUrl=naver,재건축,naver
"HDC현대산업개발, 방배 신삼호 재건축 유찰에도 설계안 공개 ‘눈길’",https://www.inthenews.co.kr/news/article.html?no=72210,재건축,naver
"HDC현대산업개발, 방배 신삼호아파트 재건축 유찰에도 ‘더 스퀘어 270’...",http://www.beyondpost.co.kr/view.php?ud=202505121653082381be44c0aacd_30,재건축,naver
"[아유경제_재건축] 강남원효성빌라 재건축, 시공권 두고 '대우건설' vs '...",http://www.areyou.co.kr/news/articleView.html?idxno=88954,재건축,naver
이재명 '10대 핵심 공약' 공개…경제·권력기관 개혁 집중 조명,https://www.gokorea.kr/news/articleView.html?idxno=826721,재건축,naver
"천장 뚫린 강남구·과천 아파트, 4월 매매 10건 중 6건 '신고가'",https://n.news.naver.com/mnews/article/008/0005192895?sid=101,재건축,naver
이재명의 대선 공약 키워드는 '회복·성장·행복'...'기본소득' 빠졌다,https://n.news.naver.com/mnews/article/008/0005192882?sid=154,재건축,naver
